f(x, y) = x^2 - 2*y
Partial solution (Runge-Kutta method):
   i               x              y
   0         0.00000         1.00000
   1         0.10000         0.81905
   2         0.20000         0.67274
   3         0.30000         0.55661
   4         0.40000         0.46700
   5         0.50000         0.40092
   6         0.60000         0.35590
   7         0.70000         0.32996
   8         0.80000         0.32143
   9         0.90000         0.32898
  10         1.00000         0.35151
