dy/dx = x^2 - 2*y
Partial solution (Runge-Kutta method):

   i               x              y
   0        0.000000        1.000000
   1        0.100000        0.819051
   2        0.200000        0.672745
   3        0.300000        0.556615
   4        0.400000        0.467004
   5        0.500000        0.400917
   6        0.600000        0.355903
   7        0.700000        0.329955
   8        0.800000        0.321430
   9        0.900000        0.328982
  10        1.000000        0.351509
